sid	school_name	display_name	nickname	alias	almanac_name	stubhub_name	cid	division_cid	location	head_coach	off_coord	def_coord	primary_color	alt_color	sec_color	rss_query	domain	domain_title	ncaawiki_url	official_url	active_state	show_poster	school_id	ncaa_catid	checked_out	checked_out_time	published
85	San Diego State	San Diego State	Aztecs	sandiegostate	San Diego State	San Diego State	9	0	San Diego, CA				000000	FD0E35	C6B668						0	0	0	70	0	0000-00-00 00:00:00	1
86	San Jose State	San Jose State	Spartans	sanjosestate	San Jose State	San Jose State	11	0	San Jose, CA				4D4DFF	FFC125							0	0	0	70	0	0000-00-00 00:00:00	1
87	South Carolina	South Carolina	Gamecocks	southcarolina	South Carolina	South Carolina	6	17	Columbia, SC				990000	000000	'						0	0	0	70	0	0000-00-00 00:00:00	1
88	South Florida	South Florida	Bulls	southflorida	South Florida	South Florida	2	0	Tampa, FL				00573C	DFD0A5							0	0	0	70	0	0000-00-00 00:00:00	1
89	Southern California	Southern California	Trojans	southerncalifornia	Southern California	Southern California	5	0	Los Angeles, CA				990000	FFCC00							0	0	0	70	0	0000-00-00 00:00:00	1
90	Southern Methodist	SMU	Mustangs	southernmethodist	Southern Methodist	Southern Methodist	7	20	Dallas, TX				B10000	032B66							0	0	0	70	0	0000-00-00 00:00:00	1
91	Southern Mississippi	Southern Miss	Golden Eagles	southernmississippi	Southern Mississippi	Southern Mississippi	7	19	Hattiesburg, MS				000000	FFCC33							0	0	0	70	0	0000-00-00 00:00:00	1
92	Stanford	Stanford	Cardinal	stanford	Stanford	Stanford	5	0	Palo Alto, CA				C41E3A	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
93	Syracuse	Syracuse	Orange	syracuse	Syracuse	Syracuse	2	0	Syracuse, NY				FF8000	1B3F8B							0	0	0	70	0	0000-00-00 00:00:00	1
94	Temple	Temple	Owls	temple	Temple	Temple	62	21	Philadelphia, PA				9E0508	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
